epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,313.285,0.8673,0.70913,1.53645,0.74757,0.96178,0.7862,0.69263,0.56587,0.92316,1.3588,0.00021471,0.00021471,0.00021471
90,316.098,0.83617,0.65575,1.47524,0.75218,0.94139,0.76632,0.6712,0.53418,0.9198,1.34867,0.000198206,0.000198206,0.000198206
91,350.638,0.86715,0.85754,1.53824,0.72872,1,0.80265,0.70594,0.52475,0.97308,1.31458,0.000181703,0.000181703,0.000181703
92,353.383,0.83338,0.78103,1.4801,0.73759,0.99583,0.78897,0.69418,0.53114,0.9736,1.29005,0.0001652,0.0001652,0.0001652
93,356.106,0.80519,0.69494,1.46031,0.74503,0.96939,0.77869,0.68613,0.51352,0.91793,1.27752,0.000148696,0.000148696,0.000148696
94,358.807,0.76021,0.67642,1.39793,0.75259,0.97473,0.76995,0.67928,0.52548,0.8525,1.29262,0.000132193,0.000132193,0.000132193
95,361.51,0.76118,0.68766,1.41886,0.74998,0.96814,0.77162,0.69632,0.50212,0.82129,1.28645,0.00011569,0.00011569,0.00011569
96,364.242,0.77836,0.68225,1.45291,0.74695,0.96627,0.77727,0.70212,0.46763,0.82265,1.25543,9.91865e-05,9.91865e-05,9.91865e-05
97,367.013,0.77319,0.6735,1.44699,0.76252,0.94822,0.77839,0.7002,0.49677,0.84887,1.25755,8.26832e-05,8.26832e-05,8.26832e-05
98,369.746,0.76218,0.63693,1.4408,0.76251,0.95125,0.77839,0.69959,0.50221,0.86745,1.26036,6.61799e-05,6.61799e-05,6.61799e-05
99,372.427,0.72775,0.62759,1.41885,0.76202,0.95519,0.77826,0.69713,0.50747,0.87019,1.26829,4.96766e-05,4.96766e-05,4.96766e-05
100,375.139,0.75378,0.65158,1.42914,0.76169,0.95649,0.77988,0.70077,0.49847,0.87059,1.26187,3.31733e-05,3.31733e-05,3.31733e-05
